EmployeeID,EmployeeLevel,TenureYears,ProductGroup,Country,WorkLocation,TeamSize,PerformanceRating,SatisfactionScore
443683,1,2,GroupA,United States,hybrid,8,5.0,1
839543,1,1,GroupC,India,onsite,12,,4
426374,1,2,GroupA,India,hybrid,7,2.0,5
327187,1,4,GroupB,Canada,hybrid,7,4.0,4
298314,1,3,GroupA,Canada,remote,5,5.0,3
923645,1,1,GroupC,United States,onsite,11,,2
871624,3,5,GroupA,India,remote,5,5.0,2
738126,1,4,GroupA,United States,hybrid,4,1.0,4
556592,1,1,GroupB,Canada,hybrid,6,,2
728229,1,2,GroupC,United States,onsite,10,3.0,3
126388,2,13,GroupB,Canada,hybrid,9,1.0,5
408497,1,3,GroupA,India,remote,6,1.0,2
843333,1,1,GroupA,India,hybrid,1,,5
630910,2,3,GroupA,United States,remote,3,2.0,4
671220,2,2,GroupA,Canada,hybrid,7,2.0,5
996981,1,2,GroupC,United States,onsite,14,2.0,1
876727,1,1,GroupD,United States,remote,4,,2
455200,1,1,GroupC,India,hybrid,11,,5
164301,2,2,GroupA,India,remote,5,5.0,3
940523,2,1,GroupC,United States,onsite,15,,2
221403,1,4,GroupA,United States,remote,8,5.0,3
240686,2,7,GroupA,Canada,onsite,4,4.0,3
528798,1,3,GroupA,Canada,hybrid,5,5.0,5
584523,1,1,GroupA,Canada,hybrid,5,,3
782132,1,1,GroupD,United States,hybrid,8,,4
608475,1,3,GroupA,Canada,onsite,17,4.0,5
865581,3,8,GroupB,United States,hybrid,7,2.0,2
712919,2,3,GroupA,India,remote,6,5.0,3
218955,1,1,GroupC,India,onsite,4,,5
547674,1,2,GroupA,Canada,hybrid,5,5.0,5
320309,1,1,GroupA,United States,remote,4,,4
164126,1,1,GroupA,United States,remote,7,,3
240463,1,7,GroupA,United States,hybrid,3,5.0,4
805862,4,9,GroupD,United States,remote,2,4.0,2
449874,1,3,GroupB,United States,remote,1,5.0,1
240679,1,2,GroupA,United States,onsite,6,3.0,5
547254,1,2,GroupA,United States,onsite,6,5.0,1
213260,1,7,GroupA,India,hybrid,4,4.0,2
783728,1,5,GroupB,United States,remote,5,4.0,4
797938,1,5,GroupA,United States,hybrid,3,1.0,2
423273,1,4,GroupA,United States,remote,6,5.0,4
579735,1,3,GroupA,India,hybrid,4,4.0,3
262878,4,9,GroupC,United States,onsite,14,1.0,1
433719,1,3,GroupA,India,hybrid,10,1.0,2
518794,2,1,GroupB,United States,onsite,7,,3
382719,1,2,GroupC,United States,onsite,14,4.0,2
234930,1,3,GroupB,Canada,onsite,1,2.0,3
141994,3,6,GroupB,Canada,remote,8,1.0,5
808587,3,4,GroupA,India,remote,4,3.0,4
596736,1,8,GroupB,United States,onsite,8,3.0,2
720206,3,5,GroupA,India,remote,4,2.0,4
229945,3,4,GroupC,United States,onsite,11,1.0,2
640427,1,3,GroupB,United States,remote,9,4.0,1
831560,1,1,GroupB,United States,onsite,8,,5
434777,3,4,GroupB,United States,onsite,7,3.0,4
374541,2,1,GroupC,United States,onsite,10,,5
738434,1,1,GroupA,India,hybrid,4,,2
392092,1,1,GroupD,United States,remote,1,,4
914868,3,1,GroupA,United States,hybrid,6,,3
593283,2,1,GroupB,United States,remote,6,,5
874204,1,3,GroupD,United States,hybrid,2,5.0,5
849548,1,3,GroupB,Canada,onsite,10,4.0,4
895013,1,1,GroupA,India,hybrid,9,,2
431478,4,4,GroupC,United States,onsite,7,1.0,1
645496,1,2,GroupB,United States,remote,4,4.0,5
127993,3,4,GroupA,Canada,hybrid,8,2.0,1
134895,1,2,GroupC,United States,hybrid,7,5.0,1
100252,2,3,GroupC,United States,hybrid,13,2.0,2
820487,1,1,GroupB,United States,remote,9,,4
780605,2,4,GroupA,India,hybrid,4,3.0,3
530235,3,4,GroupC,India,onsite,12,4.0,1
806504,2,9,GroupB,United States,remote,1,4.0,3
813444,3,1,GroupB,United States,hybrid,12,,5
188782,2,13,GroupB,Canada,hybrid,5,2.0,3
393012,1,1,GroupC,India,onsite,11,,1
604714,3,7,GroupB,United States,onsite,7,3.0,5
503500,2,1,GroupA,India,remote,8,,2
864582,3,5,GroupA,India,hybrid,5,4.0,3
915969,3,3,GroupA,United States,onsite,6,1.0,5
557259,1,1,GroupA,India,remote,6,,4
501256,1,1,GroupB,United States,remote,8,,5
524870,1,2,GroupA,United States,onsite,4,4.0,5
526238,3,13,GroupA,Canada,remote,9,1.0,1
692750,2,2,GroupC,United States,hybrid,12,4.0,1
